productCode,image,name,category,description,price
7999963G0016471,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714410126/799996_3G001_6471_001_100_0000_Light.jpg,Silk neck bow with GG Shadow,WOMENS SILK ACC,"The House's heritage motifs shine through eye-catching new prints. Crafted from pure silk, this red and purple neck bow reveals a GG print with optical effect.",240.0
7999963G0019864,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715097763/799996_3G001_9864_001_100_0000_Light.jpg,Silk neck bow with GG Shadow,WOMENS SILK ACC,"The House's heritage motifs shine through eye-catching new prints. Crafted from pure silk, this camel and dark brown neck bow reveals a GG print with optical effect.",240.0
799871FADRV9051,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716892203/799871_FADRV_9051_001_100_0000_Light.jpg,GG large duffle bag,TRAVEL,"From the 1970s 'Gucci Tennis' sneaker to the present day, the House continues to express its connection to the sport with signature pieces focusing on heritage as well as innovation. This versatile and functional duffle bag appears in a white GG Supreme Tender.",2150.0
7993770AABE1043,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714492948/799377_0AABE_1043_001_100_0000_Light.jpg,Thin belt with Round Interlocking G buckle,WOMENS BELTS,"Versatile and essential pieces are enriched with the House's most defining codes. Crafted from black patent leather, this thin belt is defined by an archival iteration of the House's monogram hardware.",470.0
799001FADVB6242,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716912934/799001_FADVB_6242_001_085_0000_Light.jpg,Super mini bucket bag with GG Shadow,WOMENS SMLG,"Reinterpreted in a contemporary way, the GG monogram is slightly offset with a drop shadow to create a sense of dimension. Here, the signature motif appears atop this super mini bucket bag crafted from Gucci Rosso Ancora red and multicolor canvas with GG Shadow.",1980.0
798854AADU09094,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1710786615/798854_AADU0_9094_001_100_0000_Light.jpg,Women's Screener sneaker,WOMENS SHOES,"Influenced by classic trainers from the 1970s, the Screener sneaker is named for the defensive sports move. Here the emblematic style is presented in white leather with an embossed GG leather insert",1050.0
798715AADPJ6207,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1710180966/798715_AADPJ_6207_001_068_0000_Light.jpg,GG Marmont small shoulder bag,HANDBAGS,"The GG Marmont line has always combined innovative material and design, and for Pre-Fall, two outside zip pockets further emphasize the geometry and sophistication of the matelassé chevron leather. Ivory leather lining, light gold toned hardware, and an adjustable leather and chain shoulder strap completes this small shoulder bag in the Gucci Rosso Ancora hue.",2500.0
798715AADPJ1000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1709658099/798715_AADPJ_1000_001_068_0000_Light.jpg,GG Marmont small shoulder bag,HANDBAGS,"The GG Marmont line has always combined innovative material and design, and for Pre-Fall, two outside zip pockets further emphasize the geometry and sophistication of the matelassé chevron leather. Gucci Rosso Ancora leather lining, light gold toned hardware, and an adjustable leather and chain shoulder strap completes this black small shoulder bag.",2500.0
798654AADV99566,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1712254575/798654_AADV9_9566_001_100_0000_Light.jpg,Women's Gucci Ace sneaker with Web,WOMENS SHOES,"Since its debut, the Ace sneaker has become a mainstay of the House's narrative. A new version of the characteristic low-top silhouette is presented in the latest collection, featuring unique details.",890.0
798547XJGSK1192,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1713458708/798547_XJGSK_1192_001_100_0000_Light.jpg,Viscose jersey mini skirt,WOMENS RTW,"Signature patterns have been re-envisioned in unexpected versions, juxtaposed with new silhouettes on jackets, oversized shirts and pajama ensembles. This mini skirt is made from a soft viscose jersey and is enriched with a Gucci embroidery.",690.0
798544XJGSK1192,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715704203/798544_XJGSK_1192_001_100_0000_Light.jpg,Viscose jersey hooded sweatshirt,WOMENS RTW,"Signature patterns have been reenvisioned in unexpected versions, juxtaposed with new silhouettes on jackets, oversized shirts and pajama ensembles. This oversized hooded sweatshirt is made from viscose jersey and enriched with a Gucci embroidery.",1400.0
798504I46008005,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714488437/798504_I4600_8005_001_100_0022_Light.jpg,Chain bracelet with Gucci script,FASHION JEWELRY,"The signature fashion jewelry line featuring an italic variation of the Gucci script appears in a shiny new finish, enriching necklaces, bracelets and other accessories as a central charm or pendant. Here the detail defines this chain bracelet in gold-toned metal.",430.0
798015XKDWS4452,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1713457989/798015_XKDWS_4452_001_100_0000_Light.jpg,Wool cashmere polo top,WOMENS RTW,"Light, refined fabrics are complemented by a pastel colour palette. This slim fit polo top is made from a light blue wool cashmere and is defined by an Interlocking G embroidery across the chest.",1700.0
797922ZARGY4903,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716360456/797922_ZARGY_4903_001_100_0000_Light.jpg,Oxford cotton shirt with GG Shadow,WOMENS RTW,"The GG monogram explores fresh interpretations. On leather, wool, and cotton the signature GG motif is slightly offset with a drop shadow to create a sense of dimension. This slim fit shirt is made from GG Oxford cotton with a contemporary optical effect.",880.0
797895XKD8E9200,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716833736/797895_XKD8E_9200_001_100_0000_Light.jpg,Wool bouclé polo dress,WOMENS RTW,White is accented by navy blue to create a quintessential yet charming wardrobe centered around well-cut pieces. This sleek polo dress is made from a wool bouclé and is completed with tonal Round Interlocking G enamel buttons.,1800.0
797888XKD8E9200,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716833729/797888_XKD8E_9200_001_100_0000_Light.jpg,Wool bouclé cardigan,WOMENS RTW,White is accented by navy blue to create a quintessential yet charming wardrobe centered around well-cut pieces. This V-neck cardigan is made from a textured wool bouclé and completed with Round Interlocking G enamel buttons.,2100.0
797869AADYF3747,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717002906/797869_AADYF_3747_001_100_0000_Light.jpg,Jackie large shoulder bag,MENS BAGS,"Featured on the men's Fall Winter 2024 runway, the Gucci Jackie silhouette appears in a new soft silhouette with the snap hook closure in silver-toned hardware. The shoulder strap is adjustable, and the bag comes with an additional Web canvas strap, allowing for versatile ways to wear this large bag. This style is crafted from olive green patent leather.",3850.0
797869AADYF2741,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715358810/797869_AADYF_2741_001_100_0000_Light.jpg,Gucci Jackie large shoulder bag,MENS BAGS,"Featured on the men's Fall Winter 2024 runway, the Gucci Jackie appears in a new soft silhouette with the snap hook closure in silver-toned hardware. The shoulder strap is adjustable, and the bag comes with an additional Web canvas strap so it can worn in different ways. This style is crafted from light brown patent leather.",3850.0
797869AADYF9589,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1715185893/797869_AADYF_9589_001_100_0000_Light.jpg,Gucci Jackie large shoulder bag,MENS BAGS,"Featured on the men's Fall Winter 2024 runway, the Gucci Jackie appears in a new soft silhouette with the snap hook closure in silver-toned hardware. The shoulder strap is adjustable, and the bag comes with an additional Web canvas strap, allowing for versatile ways to wear this large bag. This style is crafted from ivory patent leather.",3850.0
7977123GANV9000,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1714410121/797712_3GANV_9000_001_100_0000_Light.jpg,Cotton blend sports towel with Web,SOFT ACCESSORIES,"From the 1970s 'Gucci Tennis' sneaker to the present day, the House continues to express its connection to the sport with signature pieces focusing on heritage as well as innovation. This soft sports towel is made from a white cotton blend and is enriched with a green and red Web stripe.",195.0
797668J16912390,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717173967/797668_J1691_2390_001_100_0000_Light.jpg,Square optical frame,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a dark tortoiseshell injection frame pairs with a Double G motif.",350.0
797668J16911090,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717173964/797668_J1691_1090_001_100_0000_Light.jpg,Square optical frame,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a black injection frame pairs with a Double G motif.",350.0
797666I33308091,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717173960/797666_I3330_8091_001_100_0000_Light.jpg,Cat eye optical frame,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny gold metal frame pairs with tortoiseshell acetate tips, a Gucci logo and Horsebit motif.",520.0
797663J07402390,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717173950/797663_J0740_2390_001_100_0000_Light.jpg,Cat eye optical frame,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny tortoiseshell acetate frame pairs with a Round Interlocking G motif.",405.0
797663J07401090,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717173947/797663_J0740_1090_001_100_0000_Light.jpg,Cat eye optical frame,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black acetate frame pairs with a Round Interlocking G motif.",405.0
797645J07401090,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172247/797645_J0740_1090_001_100_0000_Light.jpg,Cat eye optical frame,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black acetate frame pairs with an Interlocking G motif.",480.0
797626IAAE48521,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716454850/797626_IAAE4_8521_001_100_0000_Light.jpg,Gucci Blondie crystal and silk choker,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. Sparking crystals and a black silk cord make up this choker necklace, complete with a cut-out logo pendant. Can be paired with other accessories from the same selection.",680.0
797605I98758623,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708619548/797605_I9875_8623_001_100_0030_Light.jpg,Gucci Blondie crystal bracelet,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. A sparking crystal bracelet, complete with a cut-out logo pendant and resin pearl drop. Can be paired with other accessories from the same selection.",520.0
797593I98758623,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708966849/797593_I9875_8623_001_100_0000_Light.jpg,Gucci Blondie crystal pearl earrings,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. This pair of earrings feature a cut-out logo with a crystal drop on one side and the resin pearl on the other. Can be paired with other accessories from the same selection.",430.0
797530I98758623,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716454848/797530_I9875_8623_001_100_0000_Light.jpg,Gucci Blondie crystal necklace,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. A sparking crystal necklace, complete with a cut-out logo pendant and resin pearl drop. Can be paired with other accessories from the same selection.",600.0
797514I33308112,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716914885/797514_I3330_8112_001_100_0000_Light.jpg,Aviator frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny silver metal frame pairs with the Web and Gucci logo.",565.0
797514I33318077,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1716914886/797514_I3331_8077_001_100_0000_Light.jpg,Aviator frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny gold metal frame pairs with the Web and Gucci logo. Yellow GG lenses complete the silhouette.",625.0
797506XDC4C4100,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1713981698/797506_XDC4C_4100_001_100_0000_Light.jpg,Regular fit embroidered denim skirt,WOMENS RTW,"The combination between blue, red, and white evokes summer holiday mood, making it a breeze to dress up effortlessly. This circular skirt is presented in a dark blue washed cotton denim and defined by a tonal Gucci embroidery.",1700.0
797497JCF278062,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708966848/797497_JCF27_8062_001_100_0000_Light.jpg,Gucci Blondie resin pearl earrings,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. This pair of earrings feature a cut-out logo with refined resin pearl drops. Can be paired with other accessories from the same selection.",430.0
797467I53488096,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708966847/797467_I5348_8096_001_100_0000_Light.jpg,GG crystals hair slide,FASHION JEWELRY,"Inspired by the summer spirit and beach clubs on the Italian coast, this item is part of Gucci Lido. Essential hair accessories continue to enrich the Gucci collections. This hair slide spotlights a signature House design. The GG motif set with crystals creates a sparkling contrast atop a pink resin base.",550.0
797460J16911012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717777083/797460_J1691_1012_001_100_0000_Light.jpg,Square-frame sunglasses,EYEWEAR,"Presented in a shiny black injection frame, these square shaped sunglasses feature a Gucci logo detail across the matching temples. A solid grey lens completes the design.",360.0
797459J16912323,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172230/797459_J1691_2323_001_100_0000_Light.jpg,Cat eye sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny tortoiseshell injection frame pairs with an Interlocking G motif.",285.0
797459J16911012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717777082/797459_J1691_1012_001_100_0000_Light.jpg,Cat eye sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black injection frame pairs with an Interlocking G motif.",285.0
797458I33308012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172227/797458_I3330_8012_001_100_0000_Light.jpg,Square frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny gold metal frame pairs with a Double G motif.",680.0
797458I33308023,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172228/797458_I3330_8023_001_100_0000_Light.jpg,Square frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny rose gold metal frame pairs with a Double G motif.",680.0
797456I33308112,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172225/797456_I3330_8112_001_100_0000_Light.jpg,Rectangular frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny ruthenium metal frame pairs with a Horsebit and Gucci logo.",625.0
797456I33308023,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172223/797456_I3330_8023_001_100_0000_Light.jpg,Rectangular frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny gold metal frame pairs with a Horsebit and Gucci logo.",625.0
797456I33308139,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172226/797456_I3330_8139_001_100_0000_Light.jpg,Rectangular frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny silver metal frame pairs with a Horsebit and Gucci logo.",625.0
797453I33308023,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172221/797453_I3330_8023_001_100_0000_Light.jpg,Aviator sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny gold metal frame pairs with a Horsebit and Gucci logo.",520.0
797453I33301012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172220/797453_I3330_1012_001_100_0000_Light.jpg,Aviator sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black metal frame pairs with a Horsebit and Gucci logo.",520.0
797432J16912323,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172214/797432_J1691_2323_001_100_0000_Light.jpg,Square frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny tortoiseshell injection frame pairs with an Interlocking G motif.",420.0
797432J16911012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1718385429/797432_J1691_1012_001_100_0000_Light.jpg,Square frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black injection frame pairs with an Interlocking G motif.",420.0
797431J16912323,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172214/797431_J1691_2323_001_100_0000_Light.jpg,Cat-eye frame sunglasses,EYEWEAR,"For the Pre-Fall 2024 collection, archival elements are reinterpreted with a contemporary touch. Here, a tortoiseshell cat-eye injection frame is decorated with an Interlocking G cut-out detail on the temples.",495.0
797431J16911012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172212/797431_J1691_1012_001_100_0000_Light.jpg,Cat-eye frame sunglasses,EYEWEAR,"For the Pre-Fall 2024 collection, archival elements are reinterpreted with a contemporary touch. Here, a black cat-eye injection frame is decorated with an Interlocking G cut-out detail on the temples.",495.0
797427J16912350,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172209/797427_J1691_2350_001_100_0000_Light.jpg,Cat eye sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny tortoiseshell injection frame pairs with an Interlocking G motif.",505.0
797427J16911012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172207/797427_J1691_1012_001_100_0000_Light.jpg,Cat eye sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black injection frame pairs with an Interlocking G motif.",505.0
797423JCF278062,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708966845/797423_JCF27_8062_001_100_0000_Light.jpg,Gucci Blondie resin pearl ring,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. This ring, with an open structure, combines the cut-out logo with a resin pearl. Can be paired with other accessories from the same selection.",340.0
797405JCF278062,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708966842/797405_JCF27_8062_001_100_0000_Light.jpg,Gucci Blondie cut-out ring with pearl,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. A wide cut-out logo detail with two resin pearls defines this ring which can be paired with other accessories from the same selection.",360.0
797402J1D508031,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708619545/797402_J1D50_8031_001_100_0000_Light.jpg,Gucci Blondie crystal earrings,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. This pair of earrings feature a cut-out logo with sparking crystal drops. Can be paired with other accessories from the same selection.",430.0
797336J1D508031,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1708966839/797336_J1D50_8031_001_100_0000_Light.jpg,Gucci Blondie crystal ring,FASHION JEWELRY,"The Gucci Blondie jewelry line, which denotes the Round Interlocking G motif, is enriched for Pre-Fall 2024 with a timeless quality thanks to delicate resin pearls and crystals. A cut-out logo detail and sparking crystal define this open ring that can be easily paired with other accessories from the same selection.",340.0
797291J16912323,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172203/797291_J1691_2323_001_100_0000_Light.jpg,Cat eye sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny dark tortoiseshell injection frame pairs with a Square G motif.",405.0
797291J16911012,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172202/797291_J1691_1012_001_100_0000_Light.jpg,Cat eye sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny black injection frame pairs with a Square G motif.",405.0
797280J07402323,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172196/797280_J0740_2323_001_100_0000_Light.jpg,Rectangular frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny dark tortoiseshell acetate frame pairs with double layered acetate temples and an Interlocking G motif.",505.0
797280J07402330,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717172196/797280_J0740_2330_001_100_0000_Light.jpg,Rectangular frame sunglasses,EYEWEAR,"The Pre-Fall 2024 eyewear collection successfully combines the coveted silhouettes of bygone decades with a contemporary logo feel. Here, a shiny dark tortoiseshell acetate frame pairs with double layered acetate temples and an Interlocking G motif.",505.0
